"Site","LC_Fluxnet","lon","lat","LC_MCD12Q1_2021","ENF","EBF","DNF","DBF","MF","CSH","OSH","WSA","SAV","GRA","WET","CRO","URB","CVM","SNO","BSV","WAT"
"AR-SLu","MF",-66.4598,-33.4648,"OSH",0,0,0,0,0,0.00694444444444444,24.0416666666667,0.0208333333333333,1.3125,44.9652777777778,0.159722222222222,26.8958333333333,2.44444444444444,0.0138888888888889,0,0.0416666666666667,0.0972222222222222
"AR-Vir","ENF",-56.1886,-28.2395,"EBF",0,13.3680555555556,0,0,0,0,0,0.4375,84.7013888888889,1.375,0.0277777777777778,0,0,0,0,0,0.0902777777777778
"AT-Neu","GRA",11.3175,47.1167,"GRA",13.7916666666667,0,0,0.118055555555556,15.6319444444444,0,0,19.8194444444444,5.95138888888889,37.375,0.0833333333333333,0.1875,2.42361111111111,0,0.479166666666667,4.11111111111111,0.0277777777777778
"AU-Ade","WSA",131.1178,-13.0769,"GRA",0,0,0,0,0,0,0,0,1.73611111111111,98.25,0,0.00694444444444444,0,0,0,0,0.00694444444444444
"AU-Cpr","SAV",140.5891,-34.0021,"OSH",0,0,0,0,0,6.13888888888889,15.3611111111111,0.0486111111111111,1.05555555555556,77.0555555555556,0,0.00694444444444444,0.0902777777777778,0,0,0.0208333333333333,0.222222222222222
"AU-Cum","EBF",150.7236,-33.6152,"EBF",0.201388888888889,19.8263888888889,0,0,0.00694444444444444,0,0,6.69444444444444,8.36805555555556,2.66666666666667,0.534722222222222,0,16.5694444444444,0,0,0.0277777777777778,45.1041666666667
"AU-DaP","GRA",131.3181,-14.0633,"GRA",0,0,0,0.0138888888888889,0.0416666666666667,0,5.11111111111111,0.0277777777777778,0.256944444444444,94.5486111111111,0,0,0,0,0,0,0
"AU-DaS","SAV",131.3881,-14.1593,"GRA",0,0,0,0.0138888888888889,0.0416666666666667,0,5.11111111111111,0.0277777777777778,0.256944444444444,94.5486111111111,0,0,0,0,0,0,0
"AU-Dry","SAV",132.3706,-15.2588,"GRA",0,0,0,0,0,0,0.826388888888889,0,1.19444444444444,97.9097222222222,0,0.0694444444444444,0,0,0,0,0
"AU-Emr","GRA",148.4746,-23.8587,"GRA",0,0,0,0,0,3.33333333333333,10.125,0,1.97916666666667,80.9444444444444,0.375,1.25,0.458333333333333,0,0,0.263888888888889,1.27083333333333
"AU-Fog","WET",131.3072,-12.5452,"GRA",0,0.00694444444444444,0,0,0,0,0,0,28.2361111111111,71.7222222222222,0.0208333333333333,0.0138888888888889,0,0,0,0,0
